copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy,copy
0.0,_______________
0.0,META_DATA_START
0.0,test_name,gripper-assembly-qc-ot3
9.1,test_tag,GRPV1320260523002
0.0,test_run_id,run-26-06-04-09-16-28
12.0,test_device_id,GRPV1320260523002,PASS
9.1,test_robot_id,FLXA1020230828003
0.0,test_time_utc,2026/06/04-09:16:28
3.6,test_operator,Jiqing,PASS
0.0,test_version,ot3@0.14.0_alpha.0_105-g5c80a72ac4
9.1,firmware,67, 52
0.0,META_DATA_END
638.3,______________________
638.3,RESULTS_OVERVIEW_START
638.3,RESULT_META_DATA,PASS
638.3,RESULT_MOUNT,PASS
638.3,RESULT_PROBE,PASS
638.3,RESULT_WIDTH,PASS
638.3,RESULT_FORCE,PASS
638.3,RESULTS_OVERVIEW_END
27.7,___________
27.7,MOUNT_START
42.5,current-0.3-speed-50-down-start,165.916,165.916
45.8,current-0.3-speed-50-down-end,15.915999999999997,15.909999999999997
45.9,current-0.3-speed-50-up-start,15.915999999999997,15.909999999999997
49.2,current-0.3-speed-50-up-end,165.916,165.90499999999997
35.1,current-0.4-speed-50-down-start,165.916,165.916,PASS
38.5,current-0.4-speed-50-down-end,15.915999999999997,15.907999999999987,PASS
38.5,current-0.4-speed-50-up-start,15.915999999999997,15.907999999999987,PASS
41.9,current-0.4-speed-50-up-end,165.916,165.90300000000002,PASS
27.7,current-0.67-speed-50-down-start,165.916,165.916,PASS
31.1,current-0.67-speed-50-down-end,15.915999999999997,15.909999999999997,PASS
31.1,current-0.67-speed-50-up-start,15.915999999999997,15.909999999999997,PASS
34.4,current-0.67-speed-50-up-end,165.916,165.913,PASS
27.7,MOUNT_END
75.6,___________
75.6,PROBE_START
75.6,FRONT-probe-open-air-pf,3.4208023071289064
75.6,FRONT-probe-deck-pf,11.905007934570312
75.6,FRONT-probe-probe-difference,8.484205627441405
75.6,FRONT-probe-probe-pf-difference-min,7.0
75.7,FRONT-probe-probe-pf-difference-max,None
75.7,FRONT-probe-result,PASS
111.9,REAR-probe-open-air-pf,3.5037216186523437
112.0,REAR-probe-deck-pf,11.775070190429688
112.0,REAR-probe-probe-difference,8.271348571777343
112.0,REAR-probe-probe-pf-difference-min,7.0
112.0,REAR-probe-probe-pf-difference-max,None
112.0,REAR-probe-result,PASS
240.9,jaw-probe-front-xyz,-0.3515625,0.6796875,-0.04774999999997931
345.8,jaw-probe-rear-xyz,-0.7265625,-0.7265625,-0.14949999999997488
345.8,jaw-alignment-x-spec,2.0
345.8,jaw-alignment-x-actual,0.375
345.9,jaw-alignment-x-result,PASS
345.9,jaw-alignment-z-spec,2.0
345.9,jaw-alignment-z-actual,0.10174999999999557
345.9,jaw-alignment-z-result,PASS
75.6,PROBE_END
350.7,___________
350.7,WIDTH_START
350.7,60mm-10N-force,10.0
350.7,60mm-10N-width,60.0
350.8,60mm-10N-width-actual,60.025999999999996
350.8,60mm-10N-width-error,0.02599999999999625
350.8,60mm-10N-width-error-adjusted,0.0
350.8,60mm-10N-result,PASS
354.3,60mm-15N-force,15.0
354.3,60mm-15N-width,60.0
354.4,60mm-15N-width-actual,59.989999999999995
354.4,60mm-15N-width-error,-0.010000000000005116
354.4,60mm-15N-width-error-adjusted,-0.036000000000001364
354.4,60mm-15N-result,PASS
357.5,60mm-20N-force,20.0
357.5,60mm-20N-width,60.0
357.5,60mm-20N-width-actual,59.949999999999996
357.5,60mm-20N-width-error,-0.05000000000000426
357.5,60mm-20N-width-error-adjusted,-0.07600000000000051
357.6,60mm-20N-result,PASS
540.1,85.75mm-10N-force,10.0
540.2,85.75mm-10N-width,85.75
540.2,85.75mm-10N-width-actual,84.258
540.2,85.75mm-10N-width-error,-1.4920000000000044
540.2,85.75mm-10N-width-error-adjusted,-1.5180000000000007
540.2,85.75mm-10N-result,PASS
541.5,85.75mm-15N-force,15.0
541.5,85.75mm-15N-width,85.75
541.5,85.75mm-15N-width-actual,83.88
541.5,85.75mm-15N-width-error,-1.8700000000000045
541.5,85.75mm-15N-width-error-adjusted,-1.8960000000000008
541.6,85.75mm-15N-result,PASS
542.7,85.75mm-20N-force,20.0
542.7,85.75mm-20N-width,85.75
542.7,85.75mm-20N-width-actual,83.38
542.7,85.75mm-20N-width-error,-2.3700000000000045
542.7,85.75mm-20N-width-error-adjusted,-2.396000000000001
542.8,85.75mm-20N-result,PASS
556.9,62mm-10N-force,10.0
557.0,62mm-10N-width,62.0
557.0,62mm-10N-width-actual,60.528
557.0,62mm-10N-width-error,-1.4720000000000013
557.0,62mm-10N-width-error-adjusted,-1.4979999999999976
557.0,62mm-10N-result,PASS
560.7,62mm-15N-force,15.0
560.7,62mm-15N-width,62.0
560.8,62mm-15N-width-actual,60.13399999999999
560.8,62mm-15N-width-error,-1.8660000000000068
560.8,62mm-15N-width-error-adjusted,-1.892000000000003
560.8,62mm-15N-result,PASS
563.9,62mm-20N-force,20.0
563.9,62mm-20N-width,62.0
563.9,62mm-20N-width-actual,59.95399999999999
563.9,62mm-20N-width-error,-2.0460000000000065
564.0,62mm-20N-width-error-adjusted,-2.0720000000000027
564.0,62mm-20N-result,PASS
350.7,WIDTH_END
609.9,___________
609.9,FORCE_START
609.9,newtons-20-trial-1-data,22.0,21.8,21.7,21.7,21.6,21.6,21.6,21.6,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5
609.9,newtons-20-trial-1-average,21.580000000000002
610.0,newtons-20-trial-1-target,20.0
610.0,newtons-20-trial-1-pass-%,20.0
610.0,newtons-20-trial-1-result,PASS
618.8,newtons-15-trial-1-data,16.0,16.6,16.5,16.5,16.5,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.4,16.3,16.3,16.3
618.9,newtons-15-trial-1-average,16.390000000000004
618.9,newtons-15-trial-1-target,15.0
618.9,newtons-15-trial-1-pass-%,20.0
618.9,newtons-15-trial-1-result,PASS
628.1,newtons-10-trial-1-data,9.2,9.5,9.5,9.5,9.5,9.5,9.6,9.7,9.7,9.7,9.7,9.7,9.6,9.6,9.6,9.6,9.6,9.6,9.6,9.6
628.1,newtons-10-trial-1-average,9.579999999999998
628.2,newtons-10-trial-1-target,10.0
628.2,newtons-10-trial-1-pass-%,20.0
628.2,newtons-10-trial-1-result,PASS
638.2,newtons-5-trial-1-data,4.3,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
638.2,newtons-5-trial-1-average,4.6800000000000015
638.3,newtons-5-trial-1-target,5.0
638.3,newtons-5-trial-1-pass-%,40.0
638.3,newtons-5-trial-1-result,PASS
None,duty-cycle-40-trial-1-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-1-average,None
None,duty-cycle-40-trial-1-duty-cycle,None
None,duty-cycle-40-trial-2-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-2-average,None
None,duty-cycle-40-trial-2-duty-cycle,None
None,duty-cycle-40-trial-3-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-3-average,None
None,duty-cycle-40-trial-3-duty-cycle,None
None,duty-cycle-40-trial-4-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-4-average,None
None,duty-cycle-40-trial-4-duty-cycle,None
None,duty-cycle-40-trial-5-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-5-average,None
None,duty-cycle-40-trial-5-duty-cycle,None
None,duty-cycle-40-trial-6-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-6-average,None
None,duty-cycle-40-trial-6-duty-cycle,None
None,duty-cycle-40-trial-7-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-7-average,None
None,duty-cycle-40-trial-7-duty-cycle,None
None,duty-cycle-40-trial-8-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-8-average,None
None,duty-cycle-40-trial-8-duty-cycle,None
None,duty-cycle-40-trial-9-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-9-average,None
None,duty-cycle-40-trial-9-duty-cycle,None
None,duty-cycle-40-trial-10-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-10-average,None
None,duty-cycle-40-trial-10-duty-cycle,None
None,duty-cycle-40-trial-11-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-11-average,None
None,duty-cycle-40-trial-11-duty-cycle,None
None,duty-cycle-40-trial-12-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-12-average,None
None,duty-cycle-40-trial-12-duty-cycle,None
None,duty-cycle-40-trial-13-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-13-average,None
None,duty-cycle-40-trial-13-duty-cycle,None
None,duty-cycle-40-trial-14-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-14-average,None
None,duty-cycle-40-trial-14-duty-cycle,None
None,duty-cycle-40-trial-15-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-15-average,None
None,duty-cycle-40-trial-15-duty-cycle,None
None,duty-cycle-40-trial-16-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-16-average,None
None,duty-cycle-40-trial-16-duty-cycle,None
None,duty-cycle-40-trial-17-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-17-average,None
None,duty-cycle-40-trial-17-duty-cycle,None
None,duty-cycle-40-trial-18-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-18-average,None
None,duty-cycle-40-trial-18-duty-cycle,None
None,duty-cycle-40-trial-19-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-19-average,None
None,duty-cycle-40-trial-19-duty-cycle,None
None,duty-cycle-40-trial-20-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-40-trial-20-average,None
None,duty-cycle-40-trial-20-duty-cycle,None
None,duty-cycle-30-trial-1-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-1-average,None
None,duty-cycle-30-trial-1-duty-cycle,None
None,duty-cycle-30-trial-2-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-2-average,None
None,duty-cycle-30-trial-2-duty-cycle,None
None,duty-cycle-30-trial-3-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-3-average,None
None,duty-cycle-30-trial-3-duty-cycle,None
None,duty-cycle-30-trial-4-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-4-average,None
None,duty-cycle-30-trial-4-duty-cycle,None
None,duty-cycle-30-trial-5-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-5-average,None
None,duty-cycle-30-trial-5-duty-cycle,None
None,duty-cycle-30-trial-6-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-6-average,None
None,duty-cycle-30-trial-6-duty-cycle,None
None,duty-cycle-30-trial-7-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-7-average,None
None,duty-cycle-30-trial-7-duty-cycle,None
None,duty-cycle-30-trial-8-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-8-average,None
None,duty-cycle-30-trial-8-duty-cycle,None
None,duty-cycle-30-trial-9-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-9-average,None
None,duty-cycle-30-trial-9-duty-cycle,None
None,duty-cycle-30-trial-10-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-10-average,None
None,duty-cycle-30-trial-10-duty-cycle,None
None,duty-cycle-30-trial-11-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-11-average,None
None,duty-cycle-30-trial-11-duty-cycle,None
None,duty-cycle-30-trial-12-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-12-average,None
None,duty-cycle-30-trial-12-duty-cycle,None
None,duty-cycle-30-trial-13-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-13-average,None
None,duty-cycle-30-trial-13-duty-cycle,None
None,duty-cycle-30-trial-14-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-14-average,None
None,duty-cycle-30-trial-14-duty-cycle,None
None,duty-cycle-30-trial-15-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-15-average,None
None,duty-cycle-30-trial-15-duty-cycle,None
None,duty-cycle-30-trial-16-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-16-average,None
None,duty-cycle-30-trial-16-duty-cycle,None
None,duty-cycle-30-trial-17-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-17-average,None
None,duty-cycle-30-trial-17-duty-cycle,None
None,duty-cycle-30-trial-18-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-18-average,None
None,duty-cycle-30-trial-18-duty-cycle,None
None,duty-cycle-30-trial-19-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-19-average,None
None,duty-cycle-30-trial-19-duty-cycle,None
None,duty-cycle-30-trial-20-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-30-trial-20-average,None
None,duty-cycle-30-trial-20-duty-cycle,None
None,duty-cycle-25-trial-1-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-1-average,None
None,duty-cycle-25-trial-1-duty-cycle,None
None,duty-cycle-25-trial-2-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-2-average,None
None,duty-cycle-25-trial-2-duty-cycle,None
None,duty-cycle-25-trial-3-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-3-average,None
None,duty-cycle-25-trial-3-duty-cycle,None
None,duty-cycle-25-trial-4-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-4-average,None
None,duty-cycle-25-trial-4-duty-cycle,None
None,duty-cycle-25-trial-5-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-5-average,None
None,duty-cycle-25-trial-5-duty-cycle,None
None,duty-cycle-25-trial-6-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-6-average,None
None,duty-cycle-25-trial-6-duty-cycle,None
None,duty-cycle-25-trial-7-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-7-average,None
None,duty-cycle-25-trial-7-duty-cycle,None
None,duty-cycle-25-trial-8-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-8-average,None
None,duty-cycle-25-trial-8-duty-cycle,None
None,duty-cycle-25-trial-9-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-9-average,None
None,duty-cycle-25-trial-9-duty-cycle,None
None,duty-cycle-25-trial-10-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-10-average,None
None,duty-cycle-25-trial-10-duty-cycle,None
None,duty-cycle-25-trial-11-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-11-average,None
None,duty-cycle-25-trial-11-duty-cycle,None
None,duty-cycle-25-trial-12-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-12-average,None
None,duty-cycle-25-trial-12-duty-cycle,None
None,duty-cycle-25-trial-13-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-13-average,None
None,duty-cycle-25-trial-13-duty-cycle,None
None,duty-cycle-25-trial-14-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-14-average,None
None,duty-cycle-25-trial-14-duty-cycle,None
None,duty-cycle-25-trial-15-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-15-average,None
None,duty-cycle-25-trial-15-duty-cycle,None
None,duty-cycle-25-trial-16-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,duty-cycle-25-trial-16-average,None
None,duty-cycle-25-trial-16-duty-cycle,None
None,duty-cycle-25-trial-17-data,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
