copy,copy,copy,copy,copy,copy
0,_______________,,,,
0,META_DATA_START,,,,
0,test_name,ninety-six-assembly-qc-ot3,,,
59.1,test_tag,P2HHV3220260612A03,,,
0,test_run_id,run-22-04-28-19-32-17,,,
59.1,test_device_id,P2HHV3220260612A03,P2HHV3220260612A03,PASS,
59.1,test_robot_id,FLXA2020241130005,,,
0,test_time_utc,2022/04/28-19:32:17,,,
30.4,test_operator,xiongjian,PASS,,
59.1,test_version,v8.3.0_104_g3eebb4cc94-3eebb4cc94,,,
59.1,firmware,60,,,
0,META_DATA_END,,,,
1432.7,______________________,,,,
1432.7,RESULTS_OVERVIEW_START,,,,
1432.7,RESULT_META_DATA,PASS,,,
1432.7,RESULT_PLUNGER,PASS,,,
1432.7,RESULT_JAWS,PASS,,,
1432.7,RESULT_CAPACITANCE,PASS,,,
1432.7,RESULT_PRESSURE,PASS,,,
1432.7,RESULT_ENVIRONMENT-SENSOR,None,,,
1432.7,RESULT_TIP-SENSOR,PASS,,,
1432.7,RESULT_DROPLETS,PASS,,,
1432.7,RESULT_ENCODER,PASS,,,
1432.7,RESULTS_OVERVIEW_END,,,,
68.9,_____________,,,,
68.9,PLUNGER_START,,,,
174.7,current-0.6-speed-5-down-start,0,0,PASS,
190.3,current-0.6-speed-5-down-end,73.493,73.499,PASS,
190.3,current-0.6-speed-5-up-start,73.493,73.499,PASS,
205.8,current-0.6-speed-5-up-end,0.004,0,PASS,
206.5,current-0.6-speed-15-down-start,0.001,0,PASS,
212.1,current-0.6-speed-15-down-end,73.493,73.499,PASS,
212.1,current-0.6-speed-15-up-start,73.493,73.499,PASS,
217.8,current-0.6-speed-15-up-end,0.003,0,PASS,
218.4,current-0.6-speed-22-down-start,0,0,PASS,
222.7,current-0.6-speed-22-down-end,73.491,73.497,PASS,
222.7,current-0.6-speed-22-up-start,73.491,73.497,PASS,
226.9,current-0.6-speed-22-up-end,0.002,0,PASS,
121.8,current-0.7-speed-5-down-start,0,0,PASS,
137.4,current-0.7-speed-5-down-end,73.493,73.499,PASS,
137.4,current-0.7-speed-5-up-start,73.493,73.499,PASS,
153,current-0.7-speed-5-up-end,0.003,0,PASS,
153.6,current-0.7-speed-15-down-start,0.001,0,PASS,
159.3,current-0.7-speed-15-down-end,73.493,73.499,PASS,
159.3,current-0.7-speed-15-up-start,73.493,73.499,PASS,
165,current-0.7-speed-15-up-end,0.003,0,PASS,
165.7,current-0.7-speed-22-down-start,0,0,PASS,
169.9,current-0.7-speed-22-down-end,73.491,73.497,PASS,
169.9,current-0.7-speed-22-up-start,73.491,73.497,PASS,
174.1,current-0.7-speed-22-up-end,0.001,0,PASS,
68.9,current-0.8-speed-5-down-start,0.002,0.001,PASS,
84.5,current-0.8-speed-5-down-end,73.495,73.5,PASS,
84.5,current-0.8-speed-5-up-start,73.495,73.5,PASS,
100.1,current-0.8-speed-5-up-end,0.004,0,PASS,
100.7,current-0.8-speed-15-down-start,0.001,0.001,PASS,
106.4,current-0.8-speed-15-down-end,73.493,73.498,PASS,
106.4,current-0.8-speed-15-up-start,73.493,73.498,PASS,
112.1,current-0.8-speed-15-up-end,0.002,0,PASS,
112.7,current-0.8-speed-22-down-start,0.001,0,PASS,
117,current-0.8-speed-22-down-end,73.492,73.498,PASS,
117,current-0.8-speed-22-up-start,73.492,73.498,PASS,
121.2,current-0.8-speed-22-up-end,0,0,PASS,
68.9,PLUNGER_END,,,,
295.8,__________,,,,
295.8,JAWS_START,,,,
355.7,current-0.7-speed-8,TRUE,TRUE,TRUE,PASS
385.5,current-0.7-speed-12,TRUE,TRUE,TRUE,PASS
295.8,current-1.5-speed-8,TRUE,TRUE,TRUE,PASS
319.4,current-1.5-speed-12,TRUE,TRUE,TRUE,PASS
295.8,JAWS_END,,,,
440.3,_________________,,,,
440.3,CAPACITANCE_START,,,,
444.2,primary-air-pf,6.37739563,PASS,,
440.3,primary-air-pf-min,4,,,
440.3,primary-air-pf-max,10,,,
458.5,primary-attached-pf,6.911630249,PASS,,
440.3,primary-attached-pf-min,5,,,
440.3,primary-attached-pf-max,12,,,
485.3,primary-deck-pf,12.07098999,PASS,,
440.3,primary-deck-pf-min,10,,,
440.4,primary-deck-pf-max,25,,,
482.9,primary-deck-mm,5.237,PASS,,
503.4,secondary-air-pf,6.533657837,PASS,,
499.7,secondary-air-pf-min,4,,,
499.7,secondary-air-pf-max,10,,,
511.7,secondary-attached-pf,7.103303528,PASS,,
499.7,secondary-attached-pf-min,5,,,
499.7,secondary-attached-pf-max,12,,,
544.3,secondary-deck-pf,11.98069,PASS,,
499.7,secondary-deck-pf-min,10,,,
499.8,secondary-deck-pf-max,25,,,
541.9,secondary-deck-mm,5.222,PASS,,
440.3,CAPACITANCE_END,,,,
625.3,______________,,,,
625.3,PRESSURE_START,,,,
625.3,primary-open-pa,-14.52305145,PASS,,
668.4,primary-sealed-pa,-2.190014648,PASS,0,
671.4,primary-aspirate-pa,-1055.910022,PASS,,
674.8,primary-dispense-pa,1974.793115,PASS,,
731.6,secondary-open-pa,-14.8239212,PASS,,
881.4,secondary-sealed-pa,-31.7578476,PASS,0,
884.4,secondary-aspirate-pa,-1080.790894,PASS,,
887.8,secondary-dispense-pa,2019.939978,PASS,,
625.3,PRESSURE_END,,,,
948.2,________________________,,,,
948.2,ENVIRONMENT-SENSOR_START,,,,
948.2,environment-S0-celsius-humidity,27.895,59.3825,,
950.9,environment-S1-celsius-humidity,27.9025,59.3175,,
948.2,ENVIRONMENT-SENSOR_END,,,,
965.7,________________,,,,
965.7,TIP-SENSOR_START,,,,
965.7,tip-sensor-empty,PASS,,,
984.1,tip-sensor-with-tips,PASS,,,
965.7,TIP-SENSOR_END,,,,
1307.8,______________,,,,
1307.8,DROPLETS_START,,,,
1307.8,droplets-96-tips,34.2461853,PASS,,
None,droplets-1-tip-back-left,None,None,,
None,droplets-8-tips-left,None,None,,
None,droplets-24-tips-left,None,None,,
1307.8,DROPLETS_END,,,,
1432.7,_____________,,,,
1432.7,ENCODER_START,,,,
1432.7,encoder-96-stall,FALSE,PASS,,
1432.7,encoder-96-cycles,5,PASS,,
1432.7,encoder-96-cumulative-error,-0.008,PASS,,
1432.7,encoder-96-abs-avg-error,4.71E-05,PASS,,
1432.7,encoder-96-max-error-mm-error,0.001,,,
1432.7,encoder-96-max-error-pulses-error,4,,,
1432.7,encoder-96-max-error-ticks-error,1,,,
1432.7,ENCODER_END,,,,